Input_FID;avg_X;avg_Y;Shape_Leng;Shape_Area
39;645712,457243;6632048,73138;18464,9531756;19453861,4812
62;647118,128557;6633007,10395;4290,26082869;940928,472395
58;640697,112276;6635890,76749;21632,9100474;18092214,7326
26;647201,392348;6634448,51439;7816,43156328;2570640,63838
34;647205,951013;6633200,10092;2007,88633214;232941,813185
1;647111,146801;6633608,82686;5922,01446856;1521290,24421
53;647442,733616;6635439,13252;3663,18111215;754560,082592
5;647204,082093;6633200,02687;1371,73676899;80875,7338149
49;647440,865821;6635439,05834;4008,91526968;829256,815644
10;648284,613796;6632484,91184;5202,76143969;1623734,4117
91;648351,4367;6636434,09764;4873,21031346;1414477,79682
83;643628,084303;6637719,77441;7391,47655153;1667533,96351
13;646041,020777;6637401,51814;2471,21358221;331178,985473
72;646480,389053;6636359,77074;5550,38476464;1602126,98877
4;645855,857641;6636546,98385;8757,3676742;4577883,05559
22;647370,221918;6637688,19919;2232,23103784;233959,574813
97;646112,949038;6637426,64669;2728,95258234;438321,168203
2;647541,164912;6637761,88467;1755,90446093;155422,172034
64;647934,658756;6637599,18421;2479,80489047;381226,668479
114;647352,979769;6637698,66246;2377,40808927;262465,180489
12;648846,331463;6631782,72314;5113,14999231;1477319,22885
35;650686,685623;6632949,44516;6290,71650931;1967923,19982
100;649204,451603;6630838,31612;9637,86461797;4375772,80298
84;648661,323176;6631351,68228;6506,85158852;2373488,51508
63;651288,484488;6634445,54379;4069,57195246;816348,972193
30;647524,151743;6632398,90456;5890,53322648;1871453,63992
90;650692,292833;6632949,67257;7632,46095583;2273965,72692
15;651292,275611;6634490,29356;6943,52747396;3047458,27789
85;652292,495084;6633784,19614;10641,9588036;6831748,98279
16;651754,624745;6633617,24703;4642,76626907;646306,359001
31;651416,565131;6633369,32639;6700,15834678;1792143,41977
66;652125,866086;6637300,44965;12356,8933537;10036266,9473
6;651174,842975;6638198,07965;5012,43462848;1572369,96165
43;648741,123478;6635390,59381;5256,62116189;1677836,70313
14;647771,901778;6636756,5724;3901,44377232;980413,656789
89;648221,758035;6638134,62071;1951,15708419;163852,696253
3;648138,921138;6638242,79496;1447,25049666;81519,2168946
