,time,vector
0,12:00:00,"[0.0, 0.00017354378689231407, 0.0032129841659455007, 0.011002468298979882, 0.0016295105259377096, 5.4326749879561056e-05, 0.0, 0.012514667156851136, 0.0, 0.0005715212035412872, 5.4326749879561056e-05, 0.00302484080573105, 0.0, 0.000702290946362712, 0.0011038102339807772, 5.4326749879561056e-05, 0.0, 0.0015121988578712577, 0.0, 0.063426135870262, 0.00017354378689231407, 0.0, 0.0011153629397894493, 0.0005141475861482602, 0.0005141475861482602, 0.0, 0.0011038102339807772, 0.010999421431466415, 0.001569572475264285, 0.00017354378689231407, 5.4326749879561056e-05, 0.0, 0.0, 0.001628260944671457, 5.4326749879561056e-05, 5.4326749879561056e-05, 0.0, 0.003082214423124077, 0.0, 0.00017659065440578007, 0.011516615885128138, 0.00302484080573105, 0.0, 5.4326749879561056e-05, 0.0035389883918793097, 0.010637515481261567, 0.0005141475861482602, 0.060204343309347125, 0.001628260944671457, 0.0011038102339807772, 0.0, 0.0036079147150810077, 0.004551639236924446, 0.00017354378689231407, 0.001569572475264285, 0.00302484080573105, 0.004537039663602307, 0.010684651244860066, 0.00017659065440578007, 0.0017003422180857097, 0.010571636025573334, 0.0021178900214645414, 5.4326749879561056e-05, 5.4326749879561056e-05, 0.00320143146013683, 0.0017474779816842102, 0.0, 0.0, 0.060204343309347125, 0.0035420352593927757, 0.05969324259071232, 0.0005141475861482602, 0.007719943440361169, 0.05969324259071232, 0.00017354378689231407, 0.2984509793508478, 0.011513569017614673, 0.012511620289337668, 0.0, 0.0030791675556106107, 0.0015121988578712577, 0.0, 0.0037742675156922614, 0.0006907382405540402, 5.4326749879561056e-05, 0.0, 0.0015121988578712577, 0.0, 0.011002468298979882, 0.011002468298979882, 0.0, 0.00017354378689231407, 0.010571636025573334, 0.011513569017614673, 0.0015121988578712577, 0.0, 0.011068347754668112, 0.0016766462895362094, 0.0, 0.0, 0.0, 0.0, 0.013596476831304383, 0.0005684743360278213, 0.0015121988578712577, 0.0015121988578712577, 0.011053748181345975, 0.05969019572319886, 0.00017659065440578007, 0.0, 0.0, 0.013608029537113053, 0.0, 0.003198384592623363, 0.00167664628953621]"
1,12:05:00,"[0.0, 0.00034606200588191524, 0.002841539655230711, 0.008934987003500807, 0.0031375361125639714, 0.00010833245121206271, 0.0, 0.011587407119573014, 0.0, 0.0010186474083731774, 0.00010833245121206271, 0.0024547860083527313, 0.0, 0.001288576435275805, 0.002203513851933369, 0.00010833245121206271, 0.0, 0.002652420116072206, 0.0, 0.11126550362449761, 0.00034606200588191524, 0.0, 0.0022357133241661447, 0.000901822788397826, 0.000901822788397826, 0.0, 0.002203513851933369, 0.00892649483473752, 0.0027692447360475585, 0.00034606200588191524, 0.00010833245121206271, 0.0, 0.0, 0.002932820072865989, 0.00010833245121206271, 0.00010833245121206271, 0.0, 0.0025716106283280834, 0.0, 0.0003545541746452043, 0.009836809791898635, 0.0024547860083527313, 0.0, 0.00010833245121206271, 0.0033566087967505567, 0.018686492566060597, 0.000901822788397826, 0.04934293644763439, 0.002932820072865989, 0.002203513851933369, 0.0, 0.003505632888958684, 0.005147897765421, 0.00034606200588191524, 0.0027692447360475585, 0.0024547860083527313, 0.005107206124424938, 0.018817868430646246, 0.0003545541746452043, 0.0030391737629501853, 0.018545960642615756, 0.004202954723498652, 0.00010833245121206271, 0.00010833245121206271, 0.0028093401829979354, 0.003170549627535842, 0.0, 0.0, 0.04934293644763439, 0.0033651009655138453, 0.04844960582799987, 0.000901822788397826, 0.015405844170896538, 0.04844960582799987, 0.00034606200588191524, 0.24220556887846006, 0.009828317623135345, 0.011578914950809724, 0.0, 0.0025631184595647943, 0.002652420116072206, 0.0, 0.0038747383082141924, 0.0012563769630430299, 0.00010833245121206271, 0.0, 0.002652420116072206, 0.0, 0.008934987003500807, 0.008934987003500807, 0.0, 0.00034606200588191524, 0.018545960642615756, 0.009828317623135345, 0.002652420116072206, 0.0, 0.009075518926945646, 0.003268911977149627, 0.0, 0.0, 0.0, 0.0, 0.021000746650968495, 0.0010101552396098886, 0.002652420116072206, 0.002652420116072206, 0.009034827285949584, 0.04844111365923656, 0.0003545541746452043, 0.0, 0.0, 0.02103294612320127, 0.0, 0.002800848014234646, 0.003268911977149628]"
2,12:10:00,"[0.0, 0.0005170565950833975, 0.002584165142743575, 0.0073095358659352105, 0.004534099729878926, 0.0001618611901859302, 0.0, 0.010821383162103541, 0.0, 0.0013685060811673014, 0.0001618611901859302, 0.002006652662913421, 0.0, 0.0017715404901801576, 0.0032922327154135352, 0.0001618611901859302, 0.0, 0.0035118472961683336, 0.0, 0.14732391246710105, 0.0005170565950833975, 0.0, 0.0033400717195289247, 0.0011940280103500027, 0.0011940280103500027, 0.0, 0.0032922327154135352, 0.00729691898530384, 0.0036863253669856314, 0.0005170565950833975, 0.0001618611901859302, 0.0, 0.0, 0.003929350505921586, 0.0001618611901859302, 0.0001618611901859302, 0.0, 0.0021811307337307193, 0.0, 0.0005296734757147666, 0.008503563876285212, 0.002006652662913421, 0.0, 0.0001618611901859302, 0.0032006806732634225, 0.024766226342824018, 0.0011940280103500027, 0.04079197641289225, 0.003929350505921586, 0.0032922327154135352, 0.0, 0.0034229977481961098, 0.005578955843828508, 0.0005170565950833975, 0.0036863253669856314, 0.002006652662913421, 0.005518499959081754, 0.02496141247764457, 0.0005296734757147666, 0.0040893597759984876, 0.024556526148522707, 0.005818398124213024, 0.0001618611901859302, 0.0001618611901859302, 0.0025363261386281873, 0.004284545910819053, 0.0, 0.0, 0.04079197641289225, 0.0032132975538947924, 0.03961056528317362, 0.0011940280103500027, 0.023017767917441173, 0.03961056528317362, 0.0005170565950833975, 0.19798974247557327, 0.00849094699565384, 0.010808766281472173, 0.0, 0.0021685138530993507, 0.0035118472961683336, 0.0, 0.003973379287914144, 0.0017237014860647694, 0.0001618611901859302, 0.0, 0.0035118472961683336, 0.0, 0.0073095358659352105, 0.0073095358659352105, 0.0, 0.0005170565950833975, 0.024556526148522707, 0.00849094699565384, 0.0035118472961683336, 0.0, 0.007519236060236525, 0.0047292858646994914, 0.0, 0.0, 0.0, 0.0, 0.02656317881143612, 0.0013558892005359326, 0.0035118472961683336, 0.0035118472961683336, 0.0074587801754897685, 0.03959794840254226, 0.0005296734757147666, 0.0, 0.0, 0.026611017815551505, 0.0, 0.002523709257996819, 0.0047292858646994914]"
3,12:15:00,"[0.0, 0.0006822449799796021, 0.0024118601800368696, 0.006031241625228095, 0.0058156247335779, 0.00021357233483746224, 0.0, 0.010186814050622436, 0.0, 0.0016421917018633481, 0.00021357233483746224, 0.0016542670717612242, 0.0, 0.0021704876480932384, 0.004343106892672557, 0.00021357233483746224, 0.0, 0.004155572425394338, 0.0, 0.1743323437642806, 0.0006822449799796021, 0.0, 0.004402730193760307, 0.0014128945398175937, 0.0014128945398175937, 0.0, 0.004343106892672557, 0.006015516798019802, 0.004384869587440093, 0.0006822449799796021, 0.00021357233483746224, 0.0, 0.0, 0.004687759693535544, 0.00021357233483746224, 0.00021357233483746224, 0.0, 0.0018835642338069787, 0.0, 0.0006979698071878949, 0.007444136165045688, 0.0016542670717612242, 0.0, 0.00021357233483746224, 0.003067161611578817, 0.029331752927817676, 0.0014128945398175937, 0.034057100159284426, 0.004687759693535544, 0.004343106892672557, 0.0, 0.0033560820747123225, 0.005885187625451608, 0.0006822449799796021, 0.004384869587440093, 0.0016542670717612242, 0.005809839497155562, 0.029575019732825385, 0.0006979698071878949, 0.004913165533669984, 0.029058557291892464, 0.007068122059750185, 0.00021357233483746224, 0.00021357233483746224, 0.002352236878949119, 0.005156432338677682, 0.0, 0.0, 0.034057100159284426, 0.0030828864387871103, 0.03265993044667512, 0.0014128945398175937, 0.030367024201768938, 0.03265993044667512, 0.0006822449799796021, 0.163221028466828, 0.007428411337837397, 0.010171089223414139, 0.0, 0.0018678394065986862, 0.004155572425394338, 0.0, 0.004068021524862162, 0.0021108643470054878, 0.00021357233483746224, 0.0, 0.004155572425394338, 0.0, 0.006031241625228095, 0.006031241625228095, 0.0, 0.0006822449799796021, 0.029058557291892464, 0.007428411337837397, 0.004155572425394338, 0.0, 0.006304437261153308, 0.006058891538585598, 0.0, 0.0, 0.0, 0.0, 0.030712824363653687, 0.0016264668746550554, 0.004155572425394338, 0.004155572425394338, 0.0062290891328572635, 0.03264420561946682, 0.0006979698071878949, 0.0, 0.0, 0.030772447664741437, 0.0, 0.0023365120517408263, 0.006058891538585599]"
4,12:20:00,"[0.0, 0.0008388644913164677, 0.002302449935933133, 0.005025641533994011, 0.006982874909031146, 0.0002626010496058813, 0.0, 0.00965969897741895, 0.0, 0.0018562323072251435, 0.0002626010496058813, 0.0013770871311275055, 0.0, 0.0025009422399731593, 0.005338848982826181, 0.0002626010496058813, 0.0, 0.004634057443424937, 0.0, 0.19440796468879704, 0.0008388644913164677, 0.0, 0.005407295473863612, 0.0015755794351675345, 0.0015755794351675345, 0.0, 0.005338848982826181, 0.005007589711542282, 0.004914710315482546, 0.0008388644913164677, 0.0002626010496058813, 0.0, 0.0, 0.005262422779484841, 0.0002626010496058813, 0.0002626010496058813, 0.0, 0.0016577400031851143, 0.0, 0.0008569163137681956, 0.006601220969161545, 0.0013770871311275055, 0.0, 0.0002626010496058813, 0.0029526665662950387, 0.032736010300576567, 0.0015755794351675345, 0.02875010053791287, 0.005262422779484841, 0.005338848982826181, 0.0, 0.0033017659293900787, 0.006097642888041601, 0.0008388644913164677, 0.004914710315482546, 0.0013770871311275055, 0.0060111445745524425, 0.03301527627354145, 0.0008569163137681956, 0.005559420248230564, 0.03240496275993327, 0.00803327208008669, 0.0002626010496058813, 0.0002626010496058813, 0.0022340034448957015, 0.005838686221195426, 0.0, 0.0, 0.02875010053791287, 0.002970718388746767, 0.027192572925197063, 0.0015755794351675345, 0.03733208045487568, 0.027192572925197063, 0.0008388644913164677, 0.13587260581024174, 0.006583169146709813, 0.00964164715496722, 0.0, 0.0016396881807333868, 0.004634057443424937, 0.0, 0.004157295344065531, 0.002432495748935729, 0.0002626010496058813, 0.0, 0.004634057443424937, 0.0, 0.005025641533994011, 0.005025641533994011, 0.0, 0.0008388644913164677, 0.03240496275993327, 0.006583169146709813, 0.004634057443424937, 0.0, 0.0053566890746373184, 0.00726214088199601, 0.0, 0.0, 0.0, 0.0, 0.03378204989106077, 0.0018381804847734157, 0.004634057443424937, 0.004634057443424937, 0.005270190761148164, 0.027174521102745333, 0.0008569163137681956, 0.0, 0.0, 0.0338504963820982, 0.0, 0.002215951622443973, 0.007262140881996009]"
5,12:25:00,"[0.0, 0.000985267373193477, 0.0022390386983398786, 0.004234286145995109, 0.008039556755050692, 0.00030843151527167306, 0.0, 0.009220653403087805, 0.0, 0.002023576944249831, 0.00030843151527167306, 0.0011589889741086892, 0.0, 0.002775414488084764, 0.0062691903052839865, 0.00030843151527167306, 0.0, 0.004986367257092696, 0.0, 0.20918977282903373, 0.000985267373193477, 0.0, 0.006344191991197113, 0.0016953647638535756, 0.0016953647638535756, 0.0, 0.0062691903052839865, 0.004214505480870526, 0.005314579437488953, 0.000985267373193477, 0.00030843151527167306, 0.0, 0.0, 0.005695592702283333, 0.00030843151527167306, 0.00030843151527167306, 0.0, 0.0014872011545049456, 0.0, 0.0010050480383180609, 0.005929650909848682, 0.0011589889741086892, 0.0, 0.00030843151527167306, 0.002854353737962264, 0.03525237883332002, 0.0016953647638535756, 0.02456608195540942, 0.005695592702283333, 0.0062691903052839865, 0.0, 0.00325756760427165, 0.006240138582239098, 0.000985267373193477, 0.005314579437488953, 0.0011589889741086892, 0.006145356231201386, 0.035558390412201275, 0.0010050480383180609, 0.0060664169813238866, 0.034868945632135225, 0.008777192293944412, 0.00030843151527167306, 0.00030843151527167306, 0.00216403701242675, 0.006372428560205136, 0.0, 0.0, 0.02456608195540942, 0.0028741344030868486, 0.022890497856680417, 0.0016953647638535756, 0.04384065222787563, 0.022890497856680417, 0.000985267373193477, 0.11435358619727287, 0.005909870244724099, 0.00920087273796322, 0.0, 0.001467420489380362, 0.004986367257092696, 0.0, 0.004240415041074707, 0.0027004128021716352, 0.00030843151527167306, 0.0, 0.004986367257092696, 0.0, 0.004234286145995109, 0.004234286145995109, 0.0, 0.000985267373193477, 0.034868945632135225, 0.005909870244724099, 0.004986367257092696, 0.0, 0.004617719347179912, 0.008345568333931944, 0.0, 0.0, 0.0, 0.0, 0.036027934606243914, 0.002003796279125248, 0.004986367257092696, 0.004986367257092696, 0.004522936996142199, 0.022870717191555832, 0.0010050480383180609, 0.0, 0.0, 0.03610293629215704, 0.0, 0.002144256347302166, 0.008345568333931944]"
6,12:30:00,"[0.0, 0.0011206131479852624, 0.0022088066657652457, 0.0036112902369843814, 0.008991282993224683, 0.0003508006258051714, 0.0, 0.008853985415501702, 0.0, 0.0021543697332681595, 0.0003508006258051714, 0.0009873152516563957, 0.0, 0.0030040076654330398, 0.007128941331915703, 0.0003508006258051714, 0.0, 0.005242695178517319, 0.0, 0.2199445523681883, 0.0011206131479852624, 0.0, 0.007208766741900491, 0.0017825162513241909, 0.0017825162513241909, 0.0, 0.007128941331915703, 0.003590237380845583, 0.005614548660461288, 0.0011206131479852624, 0.0003508006258051714, 0.0, 0.0, 0.006020066745849183, 0.0003508006258051714, 0.0003508006258051714, 0.0, 0.0013591687336003643, 0.0, 0.0011416660041240606, 0.005393806488308569, 0.0009873152516563957, 0.0, 0.0003508006258051714, 0.002769831502980586, 0.03709229113907109, 0.0017825162513241909, 0.02126553843316789, 0.006020066745849183, 0.007128941331915703, 0.0, 0.0032215103949093434, 0.006330888696297302, 0.0011206131479852624, 0.005614548660461288, 0.0009873152516563957, 0.006230010430173715, 0.03741798381447421, 0.0011416660041240606, 0.006464186592626166, 0.036661665103281116, 0.009349305081763539, 0.0003508006258051714, 0.0003508006258051714, 0.002128981255780456, 0.006789879268029271, 0.0, 0.0, 0.02126553843316789, 0.002790884359119384, 0.01950407503798249, 0.0017825162513241909, 0.049856100340579884, 0.01950407503798249, 0.0011206131479852624, 0.09741511110417715, 0.005372753632169774, 0.008832932559362901, 0.0, 0.0013381158774615667, 0.005242695178517319, 0.0, 0.004317015592492542, 0.0029241822554482507, 0.0003508006258051714, 0.0, 0.005242695178517319, 0.0, 0.0036112902369843814, 0.0036112902369843814, 0.0, 0.0011206131479852624, 0.036661665103281116, 0.005372753632169774, 0.005242695178517319, 0.0, 0.00404191627277434, 0.009316975668627788, 0.0, 0.0, 0.0, 0.0, 0.03764898035493752, 0.002133316877129361, 0.005242695178517319, 0.005242695178517319, 0.003941038006650753, 0.019483022181843706, 0.0011416660041240606, 0.0, 0.0, 0.0377288057649223, 0.0, 0.002107928399641659, 0.009316975668627787]"
7,12:35:00,"[0.0, 0.0012446360384869406, 0.0022020746994396195, 0.003120627316994539, 0.009844811639410965, 0.00038962518138865865, 0.0, 0.008546962075866346, 0.0, 0.0022565566369663484, 0.00038962518138865865, 0.0008521286065238526, 0.0, 0.0031948997973750724, 0.007916525631641216, 0.00038962518138865865, 0.0, 0.005426334758871808, 0.0, 0.2276496034987574, 0.0012446360384869406, 0.0, 0.007999857934951657, 0.0018449537044593067, 0.0018449537044593067, 0.0, 0.007916525631641216, 0.003098649565876155, 0.005837937691378849, 0.0012446360384869406, 0.00038962518138865865, 0.0, 0.0, 0.006261271014642685, 0.00038962518138865865, 0.00038962518138865865, 0.0, 0.0012637315390308947, 0.0, 0.0012666137896053251, 0.004965581021453844, 0.0008521286065238526, 0.0, 0.00038962518138865865, 0.0026970823109831563, 0.038418984047172006, 0.0018449537044593067, 0.01866029258237085, 0.006261271014642685, 0.007916525631641216, 0.0, 0.0031920175468006418, 0.006383773419824484, 0.0012446360384869406, 0.005837937691378849, 0.0008521286065238526, 0.006278463365395659, 0.0387589850671254, 0.0012666137896053251, 0.006776280851787574, 0.037946026562472895, 0.009788148490135267, 0.00038962518138865865, 0.00038962518138865865, 0.0021187423961291775, 0.0071162818717409645, 0.0, 0.0, 0.01866029258237085, 0.0027190600621015424, 0.016837316629029923, 0.0018449537044593067, 0.05536714828112323, 0.016837316629029923, 0.0012446360384869406, 0.08407669454974913, 0.004943603270335462, 0.008524984324747966, 0.0, 0.0012417537879125112, 0.005426334758871808, 0.0, 0.0043870294238523184, 0.003111567494064631, 0.00038962518138865865, 0.0, 0.005426334758871808, 0.0, 0.003120627316994539, 0.003120627316994539, 0.0, 0.0012446360384869406, 0.037946026562472895, 0.004943603270335462, 0.005426334758871808, 0.0, 0.0035935848016936385, 0.010184812659364358, 0.0, 0.0, 0.0, 0.0, 0.038798155168996755, 0.002234578885847965, 0.005426334758871808, 0.005426334758871808, 0.0034882747472648125, 0.016815338877911534, 0.0012666137896053251, 0.0, 0.0, 0.03888148747230719, 0.0, 0.002096764645010794, 0.010184812659364358]"
8,12:40:00,"[0.0, 0.0013574701273921118, 0.0022115781269215567, 0.002734007331671688, 0.01060749445926849, 0.0004249471557332404, 0.0, 0.008289225950983699, 0.0, 0.002336361076216982, 0.0004249471557332404, 0.0007456260759909199, 0.0, 0.0033547262649828193, 0.008632878028109338, 0.0004249471557332404, 0.0, 0.005555218619312011, 0.0, 0.2330573049710214, 0.0013574701273921118, 0.0, 0.008718720245216305, 0.001888774214052183, 0.001888774214052183, 0.0, 0.008632878028109338, 0.00271136762524013, 0.00600280548147681, 0.0013574701273921118, 0.0004249471557332404, 0.0, 0.0, 0.006438889324126341, 0.0004249471557332404, 0.0004249471557332404, 0.0, 0.0011932129381557182, 0.0, 0.0013801098338236716, 0.004622781545723868, 0.0007456260759909199, 0.0, 0.0004249471557332404, 0.0026344002900431, 0.03935823282989313, 0.001888774214052183, 0.01660246301949794, 0.006438889324126341, 0.008632878028109338, 0.0, 0.003167829369314867, 0.0064093266188414546, 0.0013574701273921118, 0.00600280548147681, 0.0007456260759909199, 0.006300844695302929, 0.0397084744554357, 0.0013801098338236716, 0.0070211706702426446, 0.03884744345705294, 0.010123753767762934, 0.0004249471557332404, 0.0004249471557332404, 0.0021257359098145905, 0.007371412295785211, 0.0, 0.0, 0.01660246301949794, 0.002657039996474661, 0.014736328511877313, 0.001888774214052183, 0.06038015352844869, 0.014736328511877313, 0.0013574701273921118, 0.0735684441602923, 0.00460014183929231, 0.008266586244552138, 0.0, 0.00117057323172416, 0.005555218619312011, 0.0, 0.004450593966516306, 0.0032688840478758544, 0.0004249471557332404, 0.0, 0.005555218619312011, 0.0, 0.002734007331671688, 0.002734007331671688, 0.0, 0.0013574701273921118, 0.03884744345705294, 0.00460014183929231, 0.005555218619312011, 0.0, 0.003244796704511893, 0.01095773608481105, 0.0, 0.0, 0.0, 0.0, 0.039593069533043854, 0.002313721369785423, 0.005555218619312011, 0.005555218619312011, 0.0031363147809733683, 0.014713688805445754, 0.0013801098338236716, 0.0, 0.0, 0.03967891175015082, 0.0, 0.0021030962033830322, 0.010957736084811048]"
9,12:45:00,"[0.0, 0.0014595188174821047, 0.002231903542798476, 0.0024292117628556564, 0.011286883780300459, 0.0004568928314439459, 0.0, 0.008072330466627904, 0.0, 0.0023986567280113525, 0.0004568928314439459, 0.0006616797109601729, 0.0, 0.0034888840725715814, 0.009280622181045108, 0.0004568928314439459, 0.0, 0.005643118703772249, 0.0, 0.236745471412503, 0.0014595188174821047, 0.0, 0.009368223539567176, 0.0019186602407332812, 0.0019186602407332812, 0.0, 0.009280622181045108, 0.0024061081070215298, 0.006123115191050318, 0.0014595188174821047, 0.0004568928314439459, 0.0, 0.0, 0.006568135582335899, 0.0004568928314439459, 0.0004568928314439459, 0.0, 0.0011416761982382454, 0.0, 0.0014826224733162309, 0.004347872003588936, 0.0006616797109601729, 0.0, 0.0004568928314439459, 0.0025803399516934515, 0.04000672549225375, 0.0019186602407332812, 0.014975807335159559, 0.006568135582335899, 0.009280622181045108, 0.0, 0.0031479377974935954, 0.006415503429088619, 0.0014595188174821047, 0.006123115191050318, 0.0006616797109601729, 0.00630479841473242, 0.040364144525017256, 0.0014826224733162309, 0.007213342535610553, 0.03946223130228774, 0.010379506032364323, 0.0004568928314439459, 0.0004568928314439459, 0.0021443021842764043, 0.0075707615683740575, 0.0, 0.0, 0.014975807335159559, 0.0026034436075275794, 0.013080250750260402, 0.0019186602407332812, 0.06491333830631833, 0.013080250750260402, 0.0014595188174821047, 0.06528573558403983, 0.00432476834775481, 0.008049226810793779, 0.0, 0.0011185725424041186, 0.005643118703772249, 0.0, 0.004507982816295263, 0.0034012827140495108, 0.0004568928314439459, 0.0, 0.005643118703772249, 0.0, 0.0024292117628556564, 0.0024292117628556564, 0.0, 0.0014595188174821047, 0.03946223130228774, 0.00432476834775481, 0.005643118703772249, 0.0, 0.0029737059528216732, 0.011644302813063966, 0.0, 0.0, 0.0, 0.0, 0.040123911013247915, 0.0023755530721772263, 0.005643118703772249, 0.005643118703772249, 0.0028630009384654747, 0.013057147094426274, 0.0014826224733162309, 0.0, 0.0, 0.040211512371769995, 0.0, 0.0021211985284422786, 0.011644302813063962]"
